"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",23722,"03 C&I core"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",61831,"08 Total"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",8623,"08 Total"
"2018-2019","NSW","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",23722,"08 Total"
"2018-2019","NSW","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",60,"03 C&I core"
"2018-2019","NSW","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",13502,"03 C&I core"
"2018-2019","NSW","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",60,"08 Total"
"2018-2019","NSW","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",13502,"08 Total"
"2018-2019","NSW","Hazardous","Pesticides","Type","C&I","Treatment","Unknown",1831,"03 C&I core"
"2018-2019","NSW","Hazardous","Pesticides","Type","Total","Treatment","Unknown",1831,"08 Total"
"2018-2019","NSW","Hazardous","Plating & heat treatment","Type","C&I","Treatment","Unknown",327,"03 C&I core"
"2018-2019","NSW","Hazardous","Plating & heat treatment","Type","Total","Treatment","Unknown",327,"08 Total"
"2018-2019","NSW","Hazardous","Reactive chemicals","Type","C&I","Treatment","Unknown",69,"03 C&I core"
"2018-2019","NSW","Hazardous","Reactive chemicals","Type","Total","Treatment","Unknown",69,"08 Total"
"2018-2019","NSW","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",49076,"03 C&I core"
"2018-2019","NSW","Hazardous","Tyres","Type","C&I","Landfill","Disposal",46493,"03 C&I core"
"2018-2019","NSW","Hazardous","Tyres","Type","C&I","Other disposal","Disposal",2691,"03 C&I core"
"2018-2019","NSW","Hazardous","Tyres","Type","C&I","Recycling","Recycling",45309,"03 C&I core"
"2018-2019","NSW","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",49076,"08 Total"
"2018-2019","NSW","Hazardous","Tyres","Type","Total","Landfill","Disposal",46493,"08 Total"
