,Year,Jurisdiction,Category,Type,Stream,Management,Fate,Tonnes
313,2018,NSW,Organics,Other organics,C&I,Recycling,Recycling,115372
314,2018,NSW,Organics,Other organics,MSW,Landfill,Disposal,59858
315,2018,NSW,Organics,Other organics,MSW,Landfill,Energy recovery,10811
316,2018,NSW,Organics,Other organics,MSW,Recycling,Recycling,35612
317,2018,NSW,Organics,Other organics,Total,Landfill,Disposal,59858
318,2018,NSW,Organics,Other organics,Total,Landfill,Energy recovery,10811
319,2018,NSW,Organics,Other organics,Total,Recycling,Recycling,150983
320,2018,NSW,Organics,Timber,C&D,Energy from waste facility,Energy recovery,34500
321,2018,NSW,Organics,Timber,C&D,Landfill,Disposal,32131
322,2018,NSW,Organics,Timber,C&D,Landfill,Energy recovery,1014
323,2018,NSW,Organics,Timber,C&D,Recycling,Recycling,47063
324,2018,NSW,Organics,Timber,C&I,Energy from waste facility,Energy recovery,34500
325,2018,NSW,Organics,Timber,C&I,Landfill,Disposal,274348
326,2018,NSW,Organics,Timber,C&I,Landfill,Energy recovery,8661
327,2018,NSW,Organics,Timber,C&I,Recycling,Recycling,134125
328,2018,NSW,Organics,Timber,MSW,Landfill,Disposal,36352
329,2018,NSW,Organics,Timber,MSW,Landfill,Energy recovery,1148
330,2018,NSW,Organics,Timber,MSW,Recycling,Recycling,27798
331,2018,NSW,Organics,Timber,Total,Energy from waste facility,Energy recovery,69000
332,2018,NSW,Organics,Timber,Total,Landfill,Disposal,342831
333,2018,NSW,Organics,Timber,Total,Landfill,Energy recovery,10823
334,2018,NSW,Organics,Timber,Total,Recycling,Recycling,208986
335,2018,NSW,Other,Other unclassified materials,C&D,Landfill,Disposal,7712
336,2018,NSW,Other,Other unclassified materials,C&D,Recycling,Recycling,7
337,2018,NSW,Other,Other unclassified materials,C&I,Landfill,Disposal,96222
338,2018,NSW,Other,Other unclassified materials,C&I,Recycling,Recycling,13650
339,2018,NSW,Other,Other unclassified materials,MSW,Landfill,Disposal,103561
340,2018,NSW,Other,Other unclassified materials,MSW,Recycling,Recycling,5734
341,2018,NSW,Other,Other unclassified materials,Total,Landfill,Disposal,207495
342,2018,NSW,Other,Other unclassified materials,Total,Recycling,Recycling,19391
343,2018,NSW,"Textiles, leather & rubber (excl. tyres)",Leather & rubber (excl. tyres),C&I,Recycling,Recycling,36
344,2018,NSW,"Textiles, leather & rubber (excl. tyres)",Leather & rubber (excl. tyres),MSW,Recycling,Recycling,182
